date,A1,A2,A3,A4,A5,A6,A7,A8,label
2021-02-02 15:10:00,96236.0,23712.0,243441.0,244569.0,40017.0,1760723,765480,530070,0
2021-02-02 15:20:00,96441.0,23571.0,244004.0,244270.0,40053.0,1751834,763050,528270,0
2021-02-02 15:30:00,97057.0,23830.0,244001.0,245017.0,40365.0,1769288,781035,529584,0
2021-02-02 15:40:00,97777.0,23668.0,243833.0,246024.0,40161.0,1764468,777914,527233,0
2021-02-02 15:50:00,97219.0,23551.0,243814.0,245192.0,40490.0,1788998,789296,534368,0
2021-02-02 16:00:00,99441.0,24268.0,250423.0,251343.0,41604.0,1825166,811243,541725,0
2021-02-02 16:10:00,97479.0,23832.0,246762.0,247446.0,40178.0,1788342,794854,533629,0
2021-02-02 16:20:00,98643.0,23964.0,245884.0,246419.0,40169.0,1776837,787837,529024,0
2021-02-02 16:30:00,97251.0,24678.0,246265.0,247212.0,40288.0,1790495,799313,531720,0
2021-02-02 16:40:00,98617.0,24734.0,246755.0,247782.0,40487.0,1782447,797078,532606,0
2021-02-02 16:50:00,99635.0,24398.0,251141.0,250708.0,40475.0,1804345,811245,532311,0
2021-02-02 17:00:00,99860.0,25396.0,251437.0,252602.0,41212.0,1878934,853179,550042,0
2021-02-02 17:10:00,99061.0,24492.0,251460.0,251939.0,39833.0,1848768,835588,541066,0
2021-02-02 17:20:00,97008.0,24928.0,247360.0,247747.0,39209.0,1829130,832312,532564,0
2021-02-02 17:30:00,94791.0,32015.0,241520.0,243560.0,39162.0,1882280,868926,536062,0
2021-02-02 17:40:00,93240.0,27274.0,238866.0,239190.0,37881.0,1842410,848631,522278,0
2021-02-02 17:50:00,91718.0,26610.0,232614.0,233313.0,37169.0,1859802,862732,519593,0
2021-02-02 18:00:00,89036.0,28763.0,228107.0,227688.0,36642.0,2006580,954423,533399,0
2021-02-02 18:10:00,83073.0,26338.0,214251.0,214776.0,33796.0,1948924,923176,514614,0
2021-02-02 18:20:00,77280.0,25065.0,201843.0,203118.0,31864.0,1867335,876154,500141,0
2021-02-02 18:30:00,73125.0,24471.0,190944.0,192202.0,29698.0,1818688,844987,484972,0
2021-02-02 18:40:00,69292.0,23515.0,181623.0,183037.0,28150.0,1755887,803463,454453,0
2021-02-02 18:50:00,67239.0,23311.0,177516.0,178327.0,26747.0,1705193,767998,433088,0
2021-02-02 19:00:00,65730.0,23118.0,172867.0,174143.0,26445.0,1678369,740556,426443,0
2021-02-02 19:10:00,61683.0,21827.0,164421.0,164429.0,24865.0,1633412,699222,400702,0
2021-02-02 19:20:00,59369.0,21647.0,156350.0,157578.0,23470.0,1589101,659276,384720,0
2021-02-02 19:30:00,57820.0,21348.0,153437.0,153933.0,22717.0,1548877,636379,373821,0
2021-02-02 19:40:00,57366.0,21214.0,151411.0,151659.0,22053.0,1520873,612781,371990,0
2021-02-02 19:50:00,56989.0,21757.0,150884.0,150873.0,21533.0,1497000,596964,353581,0
2021-02-02 20:00:00,56026.0,20958.0,150268.0,150428.0,20761.0,1488744,589028,338197,0
2021-02-02 20:10:00,53485.0,20324.0,145399.0,144964.0,19975.0,1461015,564994,321941,0
2021-02-02 20:20:00,52845.0,20124.0,141291.0,142247.0,19601.0,1450295,548552,317197,0
2021-02-02 20:30:00,52844.0,21292.0,142147.0,143040.0,19552.0,1475241,561525,320429,0
2021-02-02 20:40:00,53159.0,20579.0,145063.0,145230.0,19252.0,1444243,549495,313969,0
2021-02-02 20:50:00,51433.0,21020.0,142866.0,142373.0,18235.0,1467060,565499,302475,0
